column 1,column 2
0,10.27849
1,10.33705
2,9.641793
3,9.80761
4,9.937315
5,9.83064
6,9.889187
7,9.840479
8,9.793214
9,9.821955
10,10.02851
11,10.07304
12,8.919334
13,8.097667
14,8.494988
15,8.645589
16,8.681754
17,8.309995
18,8.415415
19,6.837907
20,7.071543
21,7.310196
22,6.499915
23,6.039749
24,5.569807
25,5.798648
26,5.705028
27,4.970563
28,5.603975
29,4.903682
30,4.587059
31,4.287999
32,3.304035
33,3.153773
34,2.962579
35,2.843475
36,2.748972
37,2.669543
38,2.560616
39,2.472229
40,2.470819
41,2.402244
42,2.346868
43,2.291391
44,2.260144
45,2.240235
46,2.240624
47,2.194534
48,2.235702
49,2.293375
50,2.333853
51,2.399204
52,2.444368
53,2.497673
54,2.552438
55,2.602875
56,2.645549
57,2.654189
58,2.677402
59,2.694456
60,3.440941
61,3.365593
62,3.308013
63,3.755474
64,4.624745
65,5.316651
66,6.090569
67,6.595262
68,7.196795
69,7.671186
70,8.198259
71,8.4986
72,8.924519
73,9.089573
74,9.340557
75,9.448622
76,9.626659
77,9.853789
78,9.963781
79,9.600543
80,9.310274
81,9.677531
82,9.655416
83,8.651438
84,9.177197
85,9.611656
86,9.987765
87,10.31751
88,10.61229
89,10.9049
90,10.85517
91,11.20278
92,11.46077
93,11.78713
94,11.5487
95,11.7294
96,11.93238
97,12.15478
98,12.21604
99,12.41771
100,12.60147
101,12.7305
102,11.75818
103,11.87025
104,12.17305
105,12.38519
106,12.61317
107,12.85318
108,13.04891
109,12.84832
110,12.75953
111,12.59291
112,12.73579
113,12.84362
114,12.67213
115,12.51248
116,12.6433
117,12.33287
118,12.03685
119,12.2656
120,12.28284
121,12.11358
122,11.89077
123,11.27335
124,10.72689
125,10.89884
126,10.69676
127,10.17586
128,9.741391
129,9.340064
130,8.981015
131,8.662747
132,8.398412
133,8.195418
134,7.966896
135,7.302612
136,7.197473
137,7.112167
138,7.00956
139,6.711481
140,6.688357
141,6.627321
142,6.560545
143,6.52359
144,6.510735
145,6.503083
146,6.451284
147,6.417948
148,6.435714
149,6.458511
150,6.451305
151,6.460546
152,6.485467
153,6.492555
154,6.499678
155,6.472079
156,6.496463
157,6.508909
158,6.513388
159,6.513148
160,6.482318
161,6.964622
162,7.479891
163,7.90576
164,8.35744
165,8.22992
166,7.939569
167,7.633768
168,7.344974
169,7.026149
170,6.746164
171,6.754611
172,6.769296
173,6.795285
174,6.827524
175,6.858469
176,6.694017
177,6.734155
178,6.407667
179,6.168205
180,6.232404
181,6.32669
182,6.331308
183,6.460712
184,6.205816
185,5.93109
186,6.070927
187,5.869393
188,5.744648
189,5.90004
190,6.059824
191,6.216567
192,6.371372
193,6.34013
194,6.013583
195,6.18703
196,6.071075
197,6.212048
198,6.360631
199,6.463029
200,6.563692
201,6.575734
202,6.712682
203,6.795468
204,6.888965
205,6.482963
206,6.291878
207,6.423715
208,6.528655
209,6.644605
210,6.660028
211,6.768421
212,6.843703
213,6.90428
214,6.979872
215,6.671133
216,6.744832
217,5.786294
218,5.058902
219,4.904163
220,4.624205
221,4.387954
222,4.776359
223,4.143127
224,4.743608
225,5.987852
226,6.056015
227,5.617568
228,4.491403
229,5.17187
230,5.257308
231,4.000488
232,2.807126
233,2.2431
234,2.795823
235,2.640266
236,2.680509
237,2.676849
238,2.685153
239,2.843724
240,2.36375
